ingredient_name;synonym_name;
C10-40 ИЗОАЛКИЛАМИДОПРОПИЛЭТИЛДИМОНИУМ ЭФОСУЛЬФАТ; Isoalkylamidopropylethyldimonium Ethosulfate, изоалкиламидопропилэтилдимониум этосульфат
C12-15 АЛКИЛ БЕНЗОАТ; C12-15 Alkyl Benzoate, алкилбензоат C12-15
C12-15 ЭТИЛГЕКСАНОАТ; C12-15 Ethylhexanoate, этилгексаноат C12-15
C18-38 КИСЛОТ ТРИГЛИЦЕРИДЫ; C18-38 Acid Triglycerides, триглицериды кислот C18-38
C30-38 ОЛЕФЕРИН/ИЗОПРОПИЛОВЫЙ МАЛЕАТ/МК-СОПОЛИМЕРА; C30-38 Olefin/Isopropyl Maleate/MA Copolymer, сополимер олефина C30-38/изопропилмалеата/МК
CALMOSENSINE; Acetyl Dipeptide-1 Cetyl Ester, ацетилдипептид-1 цетиловый эфир
CAMELLIA SINENSIS (GREEN TEA) LEAF OIL; Camellia Sinensis Leaf Oil, масло листьев камелии китайской
CAMELLIA SINENSIS (GREEN TEA) LEAF WATER; Camellia Sinensis Leaf Water, вода из листьев камелии китайской
CAMELLIA SINENSIS (GREEN TEA) OIL; Camellia Sinensis Oil, масло камелии китайской
CAMELLIA SINENSIS (GREEN TEA) SEED EXTRACT; Camellia Sinensis Seed Extract, экстракт семян камелии китайской
CAPISIOW; Capsicum Frutescens Resin, смола стручкового перца
CARNITINE; L-Carnitine, левокарнитин
CASTOR OIL; Ricinus Communis (Castor) Seed Oil, касторовое масло
CETEARETH-20; Ceteareth-20, цетеарет-20
CETETH-10; Ceteth-10, цетет-10
CI 19140; Тартразин, Tartrazine, Acid Yellow 23, Food Yellow 4, FD&C Yellow 5, E102
CI 42051; Acid Blue 3, Patent Blue V, E131
CI 42090; Brilliant Blue FCF, Acid Blue 9, FD&C Blue No. 1, E133
CI 75810; Хлорофиллин, Chlorophyllin, Natural Green 3, E140
CI 77491; Красный оксид железа, Red Iron Oxide, Ferric Oxide, Fe₂O₃
CI 77492; Жёлтый оксид железа, Yellow Iron Oxide, Hydrated Ferric Oxide
CI 77499; Чёрный оксид железа, Black Iron Oxide, Iron Oxide Black, Fe₃O₄
CI 77820; Серебро, Silver
CREATINE; Креатин, Creatine
CI 16035; Allura Red AC, FD&C Red No. 40, E129
D&C GREEN 5; Acid Green 25, CI 61570, E142
DERMAXYL; Palmitoyl Hexapeptide-12, Ceramide NG
DICAPRYLYL CAPRYLATE; Дикаприловый каприлат, Dicaprylyl Caprylate
DIVINYLDIMETHICONE/DIMETHICONE COPOLYMER; Дивинилдиметикон/диметикон сополимер, Divinyldimethicone/Dimethicone Copolymer
DODECANE; Додекан, Dodecane
ELAEIS GUINEENSIS (AFRICAN OIL PALM) OIL; масло африканской масличной пальмы, масло пальмы элейс, масло элейс гвинейской, Palm Oil, African Palm Oil, Elaeis Guineensis Oil
ENSULIZOLE; энсулизол, фенилбензимидазол сульфоновая кислота, Phenylbenzimidazole Sulfonic Acid, Ensulizole
HDI/ТРИМЕТИЛОЛГЕКСИЛЛАКТОН КРОССПОЛИМЕР; HDI/Trimethylol Hexyllactone Crosspolymer
HONEYQUAT; мёдовый кват, Honeyquat, Hydroxypropyltrimonium Honey
KOJIC DIPALMITATE; дипальмитат койевой кислоты, Kojic Dipalmitate
LILIAL; бутилфенил метилпропиональ, Butylphenyl Methylpropional, Lilial
MATRIXIL 3000; матрикил 3000, Matrixyl 3000, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7
N-АЦЕТИЛ ЦИСТЕИН; N-ацетилцистеин, N-Acetylcysteine, NAC
N6-фУРФУРИЛАДЕНИН; N6-фурфуриладенин, Kinetin
NEOCARE; NeoCare P3R, натуральный эмульгатор, palm-free W/O эмульгатор
NORMASEB; Normaseb™, комплекс для нормализации сальных желез
OLETH-10; Polyethylene glycol ether of oleyl alcohol, ПЭГ-10 олеиловый эфир
OLETH-2; Polyethylene glycol ether of oleyl alcohol, ПЭГ-2 олеиловый эфир
OLIVEM-1000 (ОЛИВЕМ 1000); Cetearyl Olivate, Sorbitan Olivate, эмульгатор из оливкового масла
OVALISS; Ovaliss™, глауцин, комплекс для уменьшения двойного подбородка
P-ФЕНИЛЕНДИАМИН; p-Phenylenediamine, 1,4-Phenylenediamine, бензол-1,4-диамин
PANAX GINSENG (GINSENG) ROOT; Panax Ginseng, Korean Ginseng, Red Ginseng, Женьшень
PASSIFLORA INCARNATA (MAYPOPS) EXTRACT; Passionflower Extract, экстракт пассифлоры
PEG-20 ALMOND GLYCERIDES; Polyethylene glycol almond glycerides, ПЭГ-20 миндальные глицериды
PEG-20 GLYCERYL TRIISOSTEARATE; Polyoxyethylene glyceryl triisostearate, ПЭГ-20 глицерил триизостеарат
PEG-20 METHYL GLUCOSE SESQUISTEARATE; Polyoxyethylene methyl glucose sesquistearate, ПЭГ-20 метилглюкозы сескистеарат
PEG-30 DIPOLYHYDROXYSTEARATE; Polyethylene glycol diester of polyhydroxystearic acid, ПЭГ-30 диполигидроксистеарат
PEG-4 DILAURATE; Polyoxyethylene dilauryl ether, ПЭГ-4 дилаурат
PEG-6 CAPRYLIC/CAPRIC GLYCERIDE; Polyethylene glycol caprylic/capric glycerides, ПЭГ-6 каприловые/каприновые глицериды
PEG-60 ALMOND GLYCERIDES; Polyethylene glycol almond glycerides, ПЭГ-60 миндальные глицериды
PEG-7 OLIVATE; Polyethylene glycol ester of olive oil fatty acids, ПЭГ-7 оливат
PEG-7M; Polyethylene glycol 7M, ПЭГ-7М
PEG-8 LAURATE; Polyethylene glycol laurate, ПЭГ-8 лаурат
PEG-8 OLEATE; Polyethylene glycol oleate, ПЭГ-8 олеат
PEG-80 SORBITAN LAURATE; ПЭГ-80 сорбитан лаурат, Polysorbate 80, Tween 80
PEPHA-TIGHT; экстракт микроводорослей Nannochloropsis oculata, Pullulan, PEPHA®-TIGHT
PHYTOSTERYL CANOLA GLYCERIDES; фитостерил канола глицериды, Lipex™ Cellect
PERFUME; Fragrance, Perfume, Scent, Aroma, Essence, Parfum
PHYTOTONINE; Фитотонин, Phytotonine™
PLACENTAL EXTRACT; экстракт плаценты, Human Placental Extract, Bovine Placental Extract
POLAWAX NF Эмульсионный воск; Полавакс, Emulsifying Wax NF
POLYGONUM FAGOPYRUM (BUCKWHEAT) LEAF EXTRACT; экстракт листьев гречихи, Buckwheat Leaf Extract, Fagopyrum esculentum Leaf Extract
PPG-3 BENZYL ETHER MYRISTATE; ППГ-3 бензиловый эфир миристата, Crodamol STS
PROCAPIL; Прокапил, Procapil™
PRODIZIA; Продизия, экстракт Albizia julibrissin, Persian Silk Tree Extract
PROLIPID 141; Пролипид 141, Glyceryl Stearate, Lecithin-based emulsifier
PROTEOL APL; Протеол APL, Sodium Cocoyl Apple Amino Acids
PROTEOL OAT PF; Протеол OAT PF, Sodium Lauroyl Oat Amino Acids
PYRO PHOSPHATE; пирофосфат, Diphosphate, Pyrophosphate
RH-ОЛИГОПЕПТИД-1; рекомбинантный человеческий эпидермальный фактор роста, Recombinant Human Epidermal Growth Factor, rh-EGF
ROSMARINUS OFFICINALIS (ROSEMARY); розмарин, розмарин обыкновенный, экстракт розмарина
SACCHAROMYCES/CARAGANA SINICA ROOT FERMENT EXTRACT; ферментированный экстракт корня китайского горошка, Saccharomyces/Caragana Sinica Root Ferment Extract
SENSIVA PA 20; Phenethyl Alcohol, Ethylhexylglycerin
SENSOLENE; Ethylhexyl Olivate, Sensolene
SEPITONIC; Sepitonic M3.0, Sepitonic, магний аспартат, глюконат меди и цинка
SILYBUM MARIANUM (LADY'S THISTLE); экстракт расторопши, Silybum Marianum Extract, экстракт семян расторопши
SODIUM COCOGLUCOSIDE TARTRATE; натриевая соль кокоглюкозида тартрата, Sodium Coco-Glucoside Tartrate
SODIUM COCOYL GLYCINATE; натриевая соль кокоглициновой кислоты, Sodium Cocoyl Glycinate
SORBITAN SESQUIOLEATE; Span 83, Sorbitan Sesquioleate, эмульгатор, стабилизатор эмульсий
STEARAMIDE MEA; N-(2-гидроксиэтил)октадекамида, Stearamide MEA, эмульгатор, стабилизатор
STEARETH-100; Steareth-100, эмульгатор, стабилизатор эмульсий
STEARETH-2; Steareth-2, эмульгатор, стабилизатор эмульсий
SUCRAGEL AP; Sucrose Laurate, Sucragel AP, загуститель, эмульгатор
SYN®-AKE; Waglerin-1, синтетический пептид, ботокс-подобный эффект
ALBIZIA JULIBRISSIN BARK EXTRACT; экстракт коры шелковичного дерева, экстракт Albizia julibrissin, экстракт персидского шелкового дерева
TEA STEARATE; Stearic Acid Triethanolamine Salt, TEA Stearate, эмульгатор, стабилизатор эмульсий
TRIDECETH-9; Trideceth-9, эмульгатор, стабилизатор эмульсий
VEEGUM Ultra; Veegum Ultra, магниевый алюмосиликат, загуститель
VENUCEANE; Venucane, экстракт водорослей, антиоксидант
VITAPLEX; Vitaplex, комплекс витаминов, питательный компонент
VITIS VINIFERA (GRAPE) LEAF EXTRACT;экстракт листьев винограда,виноградный листовой экстракт,экстракт виноградной лозы,Grapevine Leaf Extract,Vitis Vinifera Extract,Grape Leaf Extract
VITIS VINIFERA (GRAPE) ROOT EXTRACT;экстракт корня винограда,виноградный корневой экстракт,Grapevine Root Extract,Vitis Vinifera Root Extract
VOLULIP;Volulip ,Polyglyceryl-6 Distearate
WILLOWHERB;Иван-чай,кипрей,эпилобиум,Epilobium,Fireweed,Willow Herb Extract
XYLIANCE;Xyliance ,Sodium Lauroyl Methyl Isethionate
АБИЕТИНОВАЯ КИСЛОТА;Abietic Acid,Sylvic Acid,Rosin Acid,канифольная кислота
АБРИКОС ЭКСТРАКТ ПЛОДОВ;Prunus Armeniaca Fruit Extract,Apricot Fruit Extract,экстракт плодов абрикоса
АБРИКОСА ГИДРОЛАТ;Apricot Hydrosol,Prunus Armeniaca Flower Water,гидролат абрикоса,цветочная вода абрикоса
АБРИКОСОВОЙ КОСТОЧКИ МАСЛО;Apricot Kernel Oil,Prunus Armeniaca Seed Oil,масло косточек абрикоса
АБРИКОСОВОЙ КОСТОЧКИ СКРАБИРУЮЩИЕ ЧАСТИЦЫ;Apricot Seed Powder,Crushed Apricot Kernels,скраб из абрикосовых косточек,абразивные частицы косточек абрикоса
АБРИКОСОВЫЙ ВОСК;Apricot Wax,Prunus Armeniaca Wax,воск абрикоса
АВОБЕНЗОН;Avobenzone,Butyl Methoxydibenzoylmethane,Parsol 1789,Eusolex 9020
АВОКАДО ВОСК;Avocado Wax,Persea Gratissima Wax,воск авокадо
АВОКАДО МАСЛО;Avocado Oil,Persea Gratissima Oil,масло авокадо
АВОКАДО МАСЛО БЕЗ САПОНИНОВ;Saponin-Free Avocado Oil,Unsaponifiables of Avocado Oil,масло авокадо без сапонинов
АВОКАДО СКРАБ ИЗ КОСТОЧЕК;Avocado Seed Scrub,Ground Avocado Pits,скраб из косточек авокадо
АВОКАДО ЭКСТРАКТ ЛИСТЬЕВ;Avocado Leaf Extract,Persea Gratissima Leaf Extract,экстракт листьев авокадо
АВОКАДО ЭКСТРАКТ ПЛОДОВ;Avocado Fruit Extract,Persea Gratissima Fruit Extract,экстракт плодов авокадо
АГАР-АГАР;агар,агар-агар,растительный желатин,японский желатин,китайский желатин,целентанг,Gelidium cartilagineum
АГАРОЗА;агароза,полисахарид агара
АГЛАЯ ДУШИСТАЯ ЭФИРНОЕ МАСЛО;масло аглаи душистой,Aglaia odorata oil,chinese perfume plant oil
АДЕНИН;6-аминопурин,витамин B4,аденин
АДЕНОЗИН ТРИФОСФАТ;АТФ,аденозинтрифосфорная кислота,Adenosine triphosphate
АДЕНОЗИН ТРИФОСФАТА ДИНАТРИЕВАЯ СОЛЬ;динатриевая соль АТФ,Disodium adenosine triphosphate
АДЕНОЗИН ФОСФАТ;аденозинмонофосфат,АМФ,Adenosine phosphate
АДЕНОСМА КЛЕЙКАЯ ЭФИРНОЕ МАСЛО;масло аденосмы клейкой,Adenosma glutinosum oil
АДИПИНОВАЯ КИСЛОТА;гександиовая кислота,1,4-бутандикарбоновая кислота,Adipic acid
АДОНИС СИБИРСКИЙ ЭКСТРАКТ;экстракт адониса сибирского,Adonis sibirica extract
АЖГОН ЭФИРНОЕ МАСЛО;масло ажгона,тимоловое масло,Trachyspermum ammi oil,ajowan oil
АЗАЛИЯ (Рододендрон) ЭФИРНОЕ МАСЛО;масло азалии,масло рододендрона,Rhododendron oil
АЗЕЛАИНОВАЯ КИСЛОТА;1,7-гептандикарбоновая кислота,Anchoic acid,Azelaic acid
АЗЕЛОГЛИЦИН;Azeloglycin,N-азелаоилглицин
АЗУЛЕН;гуаязулен,хамазулен,Azulene
АИР БОЛОТНЫЙ ЭКСТРАКТ КОРНЯ;экстракт корня аира,Acorus calamus root extract
АИР ОБЫКНОВЕННЫЙ ЭФИРНОЕ МАСЛО;масло аира,калмусное масло,Acorus calamus oil
АИРА ГИДРОЛАТ;гидролат аира,цветочная вода аира,Acorus calamus hydrosol
АЙВЫ ГИДРОЛАТ;гидролат айвы,Cydonia oblonga hydrosol
АКАЦИИ (ЦВЕТОВ) ГИДРОЛАТ;гидролат цветков акации,Acacia hydrosol
АКАЦИЯ КОНЧИНА ФРУКТОВАЯ ПУДРА;пудра плодов акации кончина,Acacia concinna fruit powder
АКАЦИЯ КОНЧИНА ЭКСТРАКТ ПЛОДОВ;экстракт плодов акации кончина,Acacia concinna fruit extract
АКАЦИЯ СЛАДКАЯ (КАССИЯ) ЭФИРНОЕ МАСЛО;масло кассии,масло акации сладкой,Cassia oil
АКВА ШАТТЛ;Aqua Shuttle ,Aquashuttle
АКВАКСИЛ;Aquaxyl,Xylitylglucoside
АКВАСЕЛ;Aquacell,гидролизованный целлюлозный гумми
АКВАЦЕЛ;Aquacel,гидролизованный целлюлозный гель
АКРИЛАМИДОПРОПИЛТРИМОНИУМ ХЛОРИД/АКРИЛАМИД СОПОЛИМЕР; Polyquaternium-7, Acrylamide/ammonium acrylate copolymer, Cationic acrylamide copolymer
АКРИЛАТ/C10-30 АЛКИЛ АКРИЛАТНЫЙ КРОССПОЛИМЕР; Acrylates/C10-30 alkyl acrylate crosspolymer, Carbomer, Pemulen TR-2
АКРИЛАТ/БЕХЕНЕТ-25 МЕТАКРИЛАТ СОПОЛИМЕР; Acrylates/beheneth-25 methacrylate copolymer, Film-forming acrylate copolymer
АКРИЛАТ/ДИМЕТИКОН СОПОЛИМЕР; Acrylates/dimethicone copolymer, Silicone acrylate copolymer
АКРИЛАТОВ СОПОЛИМЕР; Acrylates copolymer, Acrylate crosspolymer, Carboset polymer
АКРИЛАТЫ/ПАЛМЕТ-25 АКРИЛАТ СОПОЛИМЕР; Acrylates/palmeth-25 acrylate copolymer, Thickening acrylate copolymer
АКРИЛОВЫЙ СОПОЛИМЕР; Acrylic copolymer, Polyacrylate, Carbomer homopolymer
АКТИДЖИМ; Actizyme, Proteolytic enzyme complex
АЛАНИН; L-Alanine, Alpha-alanine, 2-aminopropanoic acid
АЛИЗАРИНОВОЕ МАСЛО; Alizarin oil, Madder root oil, Rubia tinctorum extract
АЛКАНА КРАСИЛЬНАЯ; Alkanna tinctoria, Dyer's alkanet, Anchusa root extract
АЛЛАНТОИН; Allantoin, Ureidohydantoin, Glyoxyldiureide
АЛЛАНТОИН АСКОРБАТ; Allantoin ascorbate, Vitamin C allantoin complex
АЛЮМИНИЯ ОКТЕНИЛСУКЦИНАТ; Aluminum octenylsuccinate, Starch aluminum octenylsuccinate
АЛМАЗНАЯ ПУДРА; Diamond powder, Synthetic diamond powder, Crystalline carbon powder
АЛОЭ ВЕРА МАСЛО БАТТЕР; Aloe vera butter, Aloe vera lipid extract, Hydrogenated aloe vera oil
АЛОЭ ВЕРА ПУДРА; Aloe vera powder, Dehydrated aloe vera, Aloe barbadensis powder
АЛОЭ ВЕРА СОК; Aloe vera juice, Aloe barbadensis leaf juice, Aloe vera gel liquid
АЛОЭ ДРЕВОВИДНОЕ ЭКСТРАКТ; Aloe arborescens extract, Aloe extract, Aloe arborescens leaf extract
АЛОЭ МАЦЕРАТ; Aloe macerate, Aloe oil extract, Aloe-infused oil
АЛОЭ-ВЕРА ГЕЛЬ; Aloe vera gel, Aloe barbadensis gel, Aloe leaf juice
АЛТЕЙ ЛЕКАРСТВЕННЫЙ ЭКСТРАКТ КОРНЯ; Althaea officinalis root extract, Marshmallow root extract
АЛТЕРОМОНАС ЭКСТРАКТ; Alteromonas extract, Alteromonas ferment extract
АЛТЕЯ СУХОЙ ЭКСТРАКТ; Althaea dry extract, Marshmallow dry extract
АЛУНИТ; Alunite, Potassium alum stone, Alum mineral
АЛЬБИЦИЯ ЛЕНКОРАНСКАЯ ЭКСТРАКТ КОРЫ; Albizia julibrissin bark extract, Silk tree bark extract
АЛЬГИН; Algin, Sodium alginate, Alginic acid
АЛЬГИНАТ КАЛЬЦИЯ; Calcium alginate, Alginic acid calcium salt
АЛЬГИНОВАЯ КИСЛОТА; Alginic acid, Sodium alginate, Algin
АЛЬФА-ИЗОМЕТИЛИОНОН; Alpha-isomethyl ionone, Gamma-methyl ionone
АЛЬФА-ИОНОН; Alpha-ionone, 4-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-3-buten-2-one
АЛЬФА-ЛИПОЕВАЯ КИСЛОТА; Alpha-lipoic acid, Thioctic acid, ALA
АЛЬФА-ПИНЕН; Alpha-pinene, α-Pinene, 2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene
АЛЮМИНИЙ; Aluminum, Aluminium, Elemental aluminum
АЛЮМИНИЙ-ЦИРКОНИЙ ОКТАГИДРОХЛОРИД ГЛИЦИНА; Aluminum zirconium octahydrochloride glycine, AZG complex
АЛЮМИНИЙ-ЦИРКОНИЙ ПЕНТАГИДРОХЛОРИД ГЛИЦИНА; Aluminum zirconium pentahydrochloride glycine
АЛЮМИНИЙ-ЦИРКОНИЙ ТРИГИДРОХЛОРИД ГЛИЦИНА; Aluminum zirconium trihydrochloride glycine
АЛЮМИНИЯ ДИГИДРОКСИАЛЛАНТОИНАТ; Aluminum dihydroxy allantoinate, Aluminium allantoinate
АЛЮМИНИЯ ХЛОРГИДРАТ; Aluminum chlorohydrate, Aluminium chlorohydrate, ACH
АЛЮМО-КАЛИЕВЫЕ КВАСЦЫ; Potassium alum, Alum potassium sulfate, Potash alum
АЛЮМОСИЛИКАТ НАТРИЯ; Sodium aluminosilicate, Sodium silicoaluminate
АМАРАНТ; Amaranth, Amaranthus extract, Pigweed extract
АМАРАНТА МАСЛО; Amaranth oil, Amaranthus oil, Amaranthus cruentus seed oil
АМАРАНТА СВЕРХКРИТИЧЕСКИЙ CO2 ЭКСТРАКТ; Amaranth CO2 extract, Supercritical CO2 amaranth extract
АМАРАНТА СЕМЯН ЭКСТРАКТ; Amaranth seed extract, Amaranthus hypochondriacus seed extract
АМБРА; Ambergris, Grey amber, Whale amber
АМБРАЛЮКС; Ambrox, Ambroxan, Synthetic ambergris
АМИДЕТ Н; Amid N, Cocamide DEA, Coconut diethanolamide
АМИДОБЕТАИН; Amido betaine, Cocamidopropyl betaine, CAPB
АМИЗОЛ СОФТ; Amizol Soft, Disodium cocoamphodiacetate
АМИЛОПЕКТИН; Amylopectin, Starch polysaccharide
АМИЛЦИННАМАЛЬ; Amyl cinnamal, alpha-Amyl cinnamaldehyde
АМИНАТ-СР; Aminat-SR, Hydrolyzed wheat protein
АМИНО-ЭФИР-1; Amino-Ether-1, Ethylenediaminetetraacetic acid (EDTA)
АМИНОКИСЛОТЫ ЖОЖОБА; Jojoba amino acids, Hydrolyzed jojoba protein
АМИНОКИСЛОТЫ КЕРАТИНА; Keratin amino acids, Hydrolyzed keratin
АМИНОКИСЛОТЫ ПШЕНИЦЫ; Wheat amino acids, Hydrolyzed wheat protein
АМИНОКИСЛОТЫ ШЕЛКА; Silk amino acids, Hydrolyzed silk protein
АМИНОМАСЛЯНАЯ КИСЛОТА; Aminobutyric acid, GABA (Gamma-Aminobutyric Acid)
АМИНОМЕТИЛПРОПАНДИОЛ; Aminomethyl propanediol, AMPD
АМИНОМЕТИЛПРОПАНОЛ; Aminomethyl propanol, AMP
АМИНОПРОПИЛДИМЕТИКОН; Aminopropyl dimethicone, Silicone amine
АМИНОЭТИЛ ПРОПАНДИОЛ; Aminoethyl propanediol, AEPD
АМЛА; Amla, Emblica officinalis, Indian gooseberry
АММИАК; Ammonia, Ammonium hydroxide
АММОНИЯ АКРИЛДИМЕТИЛТАУРАТ/СОПОЛИМЕР; Ammonium acryloyldimethyltaurate copolymer, Polyquaternium-51
АММОНИЯ ЛАУРИЛСУЛЬФАТ; Ammonium lauryl sulfate, ALS
АММОНИЯ СТЕАРАТ; Ammonium stearate, Ammonium octadecanoate
АМОДИМЕТИКОН; Amodimethicone, Silicone amodimethicone
АНАНАС ЭКСТРАКТ; Pineapple extract, Ananas comosus extract
АНАНАСА ГИДРОЛАТ; Pineapple hydrosol, Ananas comosus water
АНАНАСА СУХОЙ ЭКСТРАКТ; Pineapple dry extract, Ananas comosus dry extract
АНГЕЛИКИ МАСЛО; Angelica oil, Angelica archangelica oil
АНДРОБА МАСЛО; Andiroba oil, Carapa guianensis oil
АНДРОСТЕНОЛ; Androstenol, Androst-16-en-3α-ol
АНЕТОЛ; Anethole, 1-Methoxy-4-(1-propenyl)benzene
АНИСА ЗВЕЗДЧАТОГО (БАДЬЯНА) ЭФИРНОЕ МАСЛО; Star anise oil, Illicium verum oil
АНИСА ЭКСТРАКТ; Anise extract, Pimpinella anisum extract
АНИСОВОЕ МАСЛО; Anise oil, Pimpinella anisum oil
АНИСОВЫЙ АЛЬДЕГИД; Anisic aldehyde, p-Anisaldehyde
АНИСОВЫЙ СПИРТ; Anise alcohol, p-Methoxybenzyl alcohol
АНТАРКТИЦИН; Antarcticine, Antarcticin 
АНТИВОЗРАСТНОЙ КОМПОНЕНТ VEGESERYL; Vegeseryl, Pea peptide
АНТОЦИАНЫ; Anthocyanins, Grape seed extract
АОЗАИН; Aozaine, Azulene derivative
АПЕЛЬСИН ГОРЬКИЙ; Bitter orange, Citrus aurantium
АПЕЛЬСИН СЛАДКИЙ; Sweet orange, Citrus sinensis
АПЕЛЬСИНА КРАСНОГО (КРОВАВОГО) ЭФИРНОЕ МАСЛО; Blood orange oil, Citrus sinensis oil
АПЕЛЬСИНА СУХОЙ ЭКСТРАКТ; Orange dry extract, Citrus sinensis dry extract
АРАЛИЯ МАНЬЧЖУРСКАЯ ЭКСТРАКТ КОРНЯ; Aralia mandshurica root extract
АРАУКАРИЯ БРАЗИЛЬСКАЯ ЭКСТРАКТ СЕМЯН; Brazilian pine seed extract, Araucaria angustifolia seed extract
АРАХИДИЛОВЫЙ СПИРТ; Arachidyl alcohol, Eicosanol
АРАХИДОНОВАЯ КИСЛОТА; Arachidonic acid, AA, Omega-6 fatty acid
АРАХИНОВЫЙ ГЛЮКОЗИД; Arachin glycoside, Peanut glycoside
АРАХИСА МАСЛО; Peanut oil, Arachis hypogaea oil, Groundnut oil
АРАХИСОВОЕ МАСЛО; Peanut oil, Arachis oil
АРБУЗНОЙ КОСТОЧКИ МАСЛО; Watermelon seed oil, Citrullus lanatus seed oil
АРБУТИН; Arbutin, Alpha-arbutin, Beta-arbutin
АРГАНА МАСЛО; Argan oil, Argania spinosa oil
АРГИНИН; Arginine, L-Arginine
АРГИНИН ГЛИЦИН; Arginine glycine, Glycine-arginine complex
АРГИНИНА ГИДРОХЛОРИД; Arginine hydrochloride, L-Arginine HCl
АРНИКА ГОРНАЯ ЭКСТРАКТ ЦВЕТОВ; Arnica montana flower extract, Mountain arnica extract
АРНИКИ ГОРНОЙ СВЕРХКРИТИЧЕСКИЙ CO2 ЭКСТРАКТ; Arnica CO2 extract, Supercritical arnica extract
АРНИКИ МАЦЕРАТ; Arnica macerate, Arnica oil infusion
АРНИКИ ПОРОШОК; Arnica powder, Arnica montana powder
АРНИКИ ЭФИРНОЕ МАСЛО; Arnica essential oil, Arnica montana oil
АРТЕМИЯ (ПЛАНКТОН) ЭКСТРАКТ; Artemia extract, Brine shrimp extract
АРТИШОКА ЭКСТРАКТ; Artichoke extract, Cynara scolymus extract
АСАИ (ЭВТЕРПЫ ОВОЩНОЙ) МАСЛО; Açai oil, Euterpe oleracea oil
АСАИ СУХОЙ ЭКСТРАКТ; Açai dry extract, Euterpe oleracea dry extract
АСКОРБАТ НАТРИЯ; Sodium ascorbate, Vitamin C sodium salt
АСКОРБИЛ ДИПАЛЬМИТАТ; Ascorbyl dipalmitate, Vitamin C ester
АСКОРБИЛ ЛИНОЛЕАТ; Ascorbyl linoleate, Vitamin C linoleate
АСКОРБИЛ ПАЛЬМИТАТ (ВИТАМИН С); Ascorbyl palmitate, Vitamin C palmitate
АСКОРБИЛ ТЕТЕРАПАЛЬМИТАТ; Ascorbyl tetraisopalmitate, Tetrahexyldecyl ascorbate
АСКОРБИЛ ФОСФАТ; Ascorbyl phosphate, Magnesium ascorbyl phosphate
АСКОРБИЛ ФОСФАТ МАГНИЯ; Magnesium ascorbyl phosphate, MAP, Vitamin C derivative
АСКОРБИЛГЛИКОЗИД; Ascorbyl glucoside, AA-2G, Vitamin C glucoside
АСКОРБИНОВАЯ КИСЛОТА (ВИТАМИН C); Ascorbic acid, Vitamin C, L-ascorbic acid
АСКОФИЛИЛЛУМ УЗЛОВАТЫЙ ЭКСТРАКТ; Ascophyllum nodosum extract, Knotted wrack extract
АСПАРАГИН; Asparagine, L-asparagine, Asn
АСПАРАГИНОВАЯ КИСЛОТА; Aspartic acid, L-aspartic acid, Asp
АСПАРТАМ; Aspartame, L-aspartyl-L-phenylalanine methyl ester
