traditional_name;latin_name;INCI_name;danger_factor;naturalness;usage;safety
ЦЕТЕТ-20;CETETH-20;CETETH-20;Низкий;Синтетический;Эмульгатор М/В. Смягчает кожу. Желеообразующий и диспергирующий агент. Создает эффект щелковистости на коже, снижает ощущение жирности масел. Используется во всех типах косметических средств, в том числе декоративной, солнцезащитной и детской.;Безопасный компонент.
КОКАМИД МОНОЭТАНОЛАМИН;COCAMIDE MEA;COCAMIDE MEA;Средний;Синтетический;Кокамид моноэтаноламид представляет собой синтетическое  соединение из кокосового масла и этаноламина.;Потенциально опасный ингредиент.
ГЛИЦЕРИЛ ЛАУРАТ;GLYCERYL LAURATE;GLYCERYL LAURATE;Средний;Синтетический;;Глицерилстеарат представляет собой эфир трехатомного спирта глицерина и стеариновой кислоты. Источником глицерилстеарата служит растительное сырье (возможен также биохимический синтез). Глицерилстеарат выступает в роли эмульгатора для стабилизации эмульсий
ГЛИЦЕРИЛ СТЕАРАТ SE;GLYCERYL STEARATE SE;GLYCERYL STEARATE SE;Низкий;Синтетический;Эмульгатор в системе М/В. Стабилизатор эмульсии. Используется в средствах по уходу за кожей, солнцезащитных средствах и декоративной косметике.;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ГЛИКОЛЬ СТЕАРАТ;GLYCOL STEARATE;GLYCOL STEARATE;Низкий;Синтетический;;Белая твердая масса. Липофильный эмульгатор\; стабилизатор эмульсий,  добавляется в косметические средства, для того чтобы сделать их непроницаемыми для света. Липофильный эмульгатор\; стабилизатор эмульсий
ИЗОСТЕАРАТ -20;ISOSTEARETH-20;ISOSTEARETH-20;Низкий;Синтетический;;
ЛАУРЕТ-23;LAURETH-23;LAURETH-23;Низкий;Синтетический;;Лаурет-23 является эмульгатором с высоким ГЛБ используется в эмульсиях масло-в-воде. Лаурет-23 находит применение в косметической и фармацевтической продукции в качестве поверхностно-активного вещества, эмульгатора и солюбилизатора. Он особенно эффективен в некоторых составах которые должны быть ниертны к гидролитическому разложению. Лаурет-23 представляет собой неионное поверхностно-активное вещество которое получают из лаурилового спирта и этиленоксида. Лаурет-23 содержит в среднем 23 повторяющихся звеньев этиленоксида. .
ЛАУРЕТ-4;LAURETH-4;LAURETH-4;Низкий;Синтетический;;.
МЕТИЛГЛЮКОЗИД СЕСКВИСТЕАРАТ;METHYL GLUCOSE SESQUISTEARATE;METHYL GLUCOSE SESQUISTEARATE;Низкий;Синтетический;Натуральное производное глюкозы. Неионный эмульгатор. Применяется в создании кремов, лосьонов, массажных кремов для чувствительной кожи, для кожи вокруг глаз, лосьонов и кремов для детей.В покое восстанавливает исходную вязкость, снижающуюся при в активном перемешивании.;Абсолютно безопасный компонент при использовании по назначению.
MONTANOV® 14;C14-22 ALCOHOL, C12-20 ALKYLGLUCOSIDE;C14-22 ALCOHOL, C12-20 ALKYLGLUCOSIDE;Низкий;Синтетический;;Не содержит консервантов, синтез без растворителя. Консистенция крема более стабильна при колебаниях температуры в процессе смешивания.
MONTANOV® 68;C14-22 ALCOHOL AND C12-20 ALKYLGLUCOSIDE;C14-22 ALCOHOL AND C12-20 ALKYLGLUCOSIDE;Низкий;Синтетический;;
MONTANOV® 82;CETEARYL ALCOHOL (AND) COCO GLUCOSIDE;CETEARYL ALCOHOL (AND) COCO GLUCOSIDE;Низкий;Синтетический;;MONTANOV® 82 Не содержит консервантов, синтез без растворителя. Консистенция крема более стабильна при колебаниях температуры в процессе смешивания.
NEOCARE;POLYGLYCERYL-3 POLYRICINOLEATE, POLYGLYCERYL-3-RICINOLEATE;POLYGLYCERYL-3 POLYRICINOLEATE, POLYGLYCERYL-3-RICINOLEATE;Низкий;Синтетический;;Обратный эмульгатор для систем вода в масле.
OLETH-10;OLETH-10;OLETH-10;Низкий;Синтетический;;Олет-10 - синтетический полимер, содержащий олеиловый спирт и ПЭГ (полиэтиленгликоль). Благодаря наличию ПЭГ, этот ингредиент может содержать потенциально токсичные примеси, такие как 1,4-диоксан.
OLETH-2;OLETH-2;OLETH-2;Низкий;Синтетический;;
ОЛЕТ-20;OLETH-20;OLETH-20;Низкий;Синтетический;Эфир полиэтиленгликоля и олеинового спирта. Очищающий агент, ПАВ, эмульгатор, солюбилизатор, компонент отдушек. Помогает растворять отдельные ингредиенты, которые полностью не растворимы в другой среде. Используется для создания эмульсий.;Безопасный компонент.
CETEARETH-20;CETEARETH-20;CETEARETH-20;Средний;Синтетический;;Натуральный эмульгатор в виде гранул бело-желтого цвета. фармацевтических эмульсий типа «масло-в-воде» Комбинированный продукт,  широко применяется в рецептах и формулах для создания лосьонов и кремов. Косметическое действиеПрименяется для создания косметических и фармацевтических эмульсий «масло-в-воде». Не содержит в составе загуститель, поэтому густота продукта будет зависеть от густоты используемых масел. Может использоваться для создания гидрофильных плиток.Синонимы: PEG-20 CETOSTEARYL ALCOHOL\; PEG-20 CETYL/STEARYL ETHER\; POLYETHYLENE GLYCOL 1000 CETYL/STEARYL ETHER\; POLYOXYETHYLENE (20) CETYL/STEARYL ETHER
OLIVEM-1000 (ОЛИВЕМ 1000);CETEARYL OLIVATE, SORBITAN OLIVATE;CETEARYL OLIVATE, SORBITAN OLIVATE;Низкий;Синтетический;;Цетеариловый olivate состоит из цетеарилового спирта и жирных кислот, полученных из оливкового масла. Сорбитан olivate это ПАВ - вещество на основе оливкового масла и сорбита.
ПЭГ-100 СТЕАРАТ;PEG-100 STEARATE;PEG-100 STEARATE;Средний;Синтетический;Сложный эфир стеариновой кислоты растительного происхождения и полиэтиленгликоля. Используется в качестве основы в кремах для рук, средств для укладки волос и др. Неионогенный эмульгатор, обеспечивает стабильность эмульсий в широком диапазоне рН. Повышает адгезию к коже, придает ощущение гладкости. Препятствует высыханию водных рецептов.;В допустимых концентрациях безопасен.
PEG-20 METHYL GLUCOSE SESQUISTEARATE;PEG-20 METHYL GLUCOSE SESQUISTEARATE;PEG-20 METHYL GLUCOSE SESQUISTEARATE;Средний;Синтетический;;
КАСТОРОВОЕ МАСЛО ГИДРОГЕНИЗИРОВАННОЕ;PEG-25 HYDROGENATED CASTOR OIL;PEG-25 HYDROGENATED CASTOR OIL;Средний;Натуральный;;Производное гидрированного касторового масла.
PEG-30 DIPOLYHYDROXYSTEARATE;PEG-30 DIPOLYHYDROXYSTEARATE;PEG-30 DIPOLYHYDROXYSTEARATE;Низкий;Синтетический;;Состоит из глицерина и натуральных жирных кислот. Прозрачная, вязкая, бесцветная жидкость. Хороший эмульгатор систем вода в масле.
PEG-60 ALMOND GLYCERIDES;PEG-60 ALMOND GLYCERIDES;PEG-60 ALMOND GLYCERIDES;Низкий;Синтетический;представляет собой  производное полиэтиленгликоля и  моно-и ди глицеридов миндального масла.;Может содержать следы опасного оксида этилена так как в синтезе используется именно этот опасный продукт.
PEG-7 OLIVATE;PEG-7 OLIVATE;PEG-7 OLIVATE;Низкий;Синтетический;;Представляет собой полиэтиленгликолевый эфир жирных кислот, полученных из оливкового масла.
PEG-8 LAURATE;PEG-8 LAURATE;PEG-8 LAURATE;Средний;Синтетический;;Является сильным аллергеном, токсичен для кожи.
PEG-8 OLEATE;PEG-8 OLEATE;PEG-8 OLEATE;Низкий;Синтетический;;
PEG-80 SORBITAN LAURATE;PEG-80 SORBITAN LAURATE;PEG-80 SORBITAN LAURATE;Средний;Синтетический;;При синтезе PEG-80 SORBITAN LAURATE  используется опаснейший продукт  этилена оксид который может содержаться как примесь.
Планта-М;POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE;POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE;Низкий;Синтетический;Получают из растительного сырья. Эмульгирует большое количество полярных растительных жирных масел, позволяет использовать в рецептурах высокий процент растительных экстрактов, гидролизатов протеинов, УФ-фильтров.;Натуральный, практически безопасный эмульгатор.
ПОЛИСОРБАТ 20 (ТВИН 20);POLYSORBATE-20;POLYSORBATE-20;Низкий;Синтетический;;Все полисорбаты это неионогенные ПАВ. POLYSORBATE-20 является эмульгаторами и солюбилизатором (растворителями) жиров, эфирных масел и отдушек  которые используются в косметических средствах на водной основе без использования этилового спирта.Используются в средствах по уходу за кожей и волосами. Улучшают скольжение и смягчают кожу. Номер полисорбата определяется типом жирных кислот, соединенных с молекулой - полиоксиэтилен сорбитана. Монолаурат обозначается числом 20, монопальмитат - 40, моностеарат - 60 и моноолеат – 80.
ПОЛИСОРБАТ 60 (ТВИН 60);POLYSORBATE-60;POLYSORBATE-60;Низкий;Синтетический;Светло-желтая маслянистая жидкость или гель с характерным запахом, хорошо растворимая в воде. Неионогенное ПАВ. Эмульгатор и солюбиллизатор в косметических средствах по уходу за кожей, особенно лосьонах. Диспергирующий агент, в зависимости от системы может быть и пенообразователем и антивспенивателем. Зарегистрирован в качестве пищевой добавки Е435.;Практически безопасный компонент.
ПОЛИСОРБАТ 80 (ТВИН 80);POLYSORBATE-80;POLYSORBATE-80;Низкий;Синтетический;Вязкая маслянистая жидкость светло-желтая или янтарного цвета. Хорошо растворяется я воде, спиртах, маслах. Неионогенное ПАВ. Эмульгатор, диспергатор, пеногаситель. Хороший солюбилизатор. Используется в средствах по уходу за кожей.;Практически безопасный компонент.
ПОЛИСОРБАТ (ТВИН 40);POLYSORBATE-40;POLYSORBATE-40;Низкий;Синтетический;;Описание: хорошо растворим в воде и спирте, а также благодаря этому компоненту можно без труда получать приятные масляные эмульсии, которые превращаются в нежнейшее молочко при соприкосновении с водой.Цвет: вязкая маслянистая жидкость золотистого цветаЗапах: нетКосметическое действие: смягчает кожу, улучшает тактильные ощущения, как такового выраженного положительного/ отрицательного действия на кожу не оказывает.
ЦЕТИЛ ФОСФАТ КАЛИЯ;POTASSIUM CETYL PHOSPHATE;POTASSIUM CETYL PHOSPHATE;Низкий;Синтетический;;Понижает поверхностное натяжение косметических продуктов, позволяя более эффективно очищать кожу,  в косметике используется для создания эмульсий.
КИСЛОТА СТЕАРИНОВАЯ;STEARIC ACID;STEARIC ACID;Низкий;Синтетический;Используется в качестве эмульгатора, загустителя и стабилизатора эмульсий,  для изготовления кремов, твёрдых духов, бальзамов для губ и масляных плиток . Для придания твёрдости мылу.;Сырьём для производства служит как правило животный жир.
ПРОПИЛЕНГЛИКОЛЬ ИЗОСТЕАРАТ;PROPYLENE GLYCOL ISOSTEARATE;PROPYLENE GLYCOL ISOSTEARATE;Низкий;Синтетический;;Используется для изготоления дезодорантов, средств для ухода за кожей. в декоративной косметике.
СТЕАРОЛ ЛАКТИЛАТ НАТРИЯ;SODIUM STEAROYL LACTYLATE;SODIUM STEAROYL LACTYLATE;Низкий;Синтетический;;Натрий стеароил лактилат представляет собой натриевую соль сложного эфира стеариновой кислоты и lactyl лактата.
СОРБИТАН ИЗОСТЕАРАТ;SORBITAN ISOSTEARATE;SORBITAN ISOSTEARATE;Средний;Синтетический;;Используется в  моющих средства, некоторых кремах. Ограничен для использования в косметике, доказана токсичность для кожи, может вызывать аллергии. Опасен для травмированной и поврежденной кожи.
СОРБИТАН ЛАУРАТ;SORBITAN LAURATE;SORBITAN LAURATE;Низкий;Синтетический;;Липофильная структура делает SORBITAN LAURATE  растворимым или диспергируемом в масле.С успехом используется для создания эмульсий типа вода-в-масле (W / O) , а так же эмульсий масло-в-воде (O / W)эмульгаторами имеющими высокий фактор  HLB.  Используется для получения косметических кремов и лосьонов.
СОРБИТАН ОЛЕАТ;SORBITAN OLEATE;SORBITAN OLEATE;Низкий;Синтетический;;Липофильная структура делает SORBITAN OLEATE  растворимым или диспергируемом в масле.С успехом используется для создания эмульсий типа вода-в-масле (W / O) , а так же эмульсий масло-в-воде (O / W)эмульгаторами имеющими высокий фактор  HLB.  Используется для получения косметических кремов и лосьонов.
СОРБИТАН ОЛИВАТ;SORBITAN OLIVATE;SORBITAN OLIVATE;Низкий;Синтетический;SORBITAN OLIVATE эмульгатор на основе оливкового масла. Его структура уменьшает поверхностное натяжение для достижения более мелких частиц и стабилизирует эмульсии, предотвращая слипание.  Даёт эмульсии высокой стабильности как  при высокой так и низкой температуре за счёт образования гидрофобной пленки на поверхности. Даёт длительный смягчающий и увлажняющий эффект. Даёт эмульсию хорошего качества и внешнего вида, лёгкую и нежную на ощупь. Используется в косметике и средствах личной гигиены.Синонимы:  ANHYDROSORBITOL MONOOLIVATE\; FATTY ACIDS, OLIVE, MONOESTERS WITH SORBITAN\; MONOESTERS WITH SORBITAN FATTY ACIDS, OLIVE\; OLIVE MONOESTERS WITH SORBITAN FATTY ACIDS\; SORBITAN MONOOLIVATE.;Возможна индивидуальная непереносимость.
SORBITAN SESQUIOLEATE;SORBITAN SESQUIOLEATE;SORBITAN SESQUIOLEATE;Низкий;Синтетический;;SORBITAN SESQUIOLEATE W / O эмульгатор, особенно рекомендуется для ненасыщенных липидных компонентов, таких как растительные масла. В качестве диспергатора для нерастворимых жидкостей в других липофильных жидкостях. Используется в качестве смачивателя и или диспергатора для пигментов в декоративной косметике и оксида цинка / диоксида титана в солнцезащитных кремах и составах. Также подходит для средств, по уходу за детской кожей.
СОРБИТАН ТРИОЛЕАТ;SORBITAN TRIOLEATE;SORBITAN TRIOLEATE;Низкий;Синтетический;;SORBITAN SESQUIOLEATE W / O эмульгатор, особенно рекомендуется для ненасыщенных липидных компонентов, таких как растительные масла.В качестве диспергатора для нерастворимых жидкостей в других липофильных жидкостях. Используется в качестве смачивателя и или диспергатора для пигментов в декоративной косметике и оксида цинка / диоксида титана в солнцезащитных кремах и составах.Также подходит для средств, по уходу за детской кожей.
STEARAMIDE MEA;STEARAMIDE MEA;STEARAMIDE MEA;Низкий;Синтетический;;Stearamide MEA представляет собой смесь этаноламидов стеариновой кислоты. Используется в основном в качестве пенообразователя в шампунях, гелях для душа и пенах для ванны.
XYLIANCE;CETEARYL WHEAT STRAW GLYCOSIDES;CETEARYL WHEAT STRAW GLYCOSIDES;Низкий;Синтетический;;Эмульгатор растительного происхождения полученный из цетилового спирта и сахаров пшеничной соломы.
САХАРОЗЫ ДИСТЕАРАТ;SUCROSE DISTEARATE;SUCROSE DISTEARATE;Низкий;Синтетический;;САХАРОЗЫ ДИСТЕАРАТ натуральный эмульгатор растительного происхождения.
САХАРОЗЫ СТЕАРАТ;SUCROSE STEARATE;SUCROSE STEARATE;Низкий;Синтетический;;САХАРОЗЫ СТЕАРАТ  эмульгатор растительного происхождения.
САХАРОЗЫ ТРИСТЕАРАТ;SUCROSE TRISTEARATE;SUCROSE TRISTEARATE;Низкий;Синтетический;;САХАРОЗЫ ТРИСТЕАРАТ  эмульгатор растительного происхождения. Получают из сахарной свеклы и пальмоядрового масла. Подходит для прямых и обратных эмульсий. Для любых косметических продуктов в том числе бальзамов для губ, губной помады.
Emulsifier T2;Emulsifier T2;Emulsifier T2;Низкий;Синтетический;;
САХАРОЗЫ МИРИСТАТ;SUCROSE MYRISTATE;SUCROSE MYRISTATE;Низкий;Синтетический;;
САХАРОЗЫ ЛАУРАТ;SUCROSE LAURATE;SUCROSE LAURATE;Низкий;Синтетический;Натуральный, эффективный солюбилизатор для широко ряда липофильных веществ. Отлично ведет себя в водных и водно-спиртовых системах, улучшает прозрачность готового продукта, растворяет различные липофильные вещества, душистые композиции, эфирные масла, жирорастворимые красители, витамины. Возможно использовать для холодных процессов.Skin-Conditioning Agent - Emollient\; Surfactant - Emulsifying Agent\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
SUCRAGEL AP;SUCROSE LAURATE, SUCROSE MYRISTATE;SUCROSE LAURATE, SUCROSE MYRISTATE;Низкий;Натуральный;;ucragel AP - это натуральный жидкий эмульгатор и загуститель для масел, очень мягкий и обладающий увлажняющими свойствами.Он может быть использован для преобразования в гель неполярных масел и жирных материалов при норме ввода около 10-15%, при этом масляная фаза добавляется в Sucragel AP при интенсивном перемешивании. Полученный масляный гель очень легко смывается, потому что при соприкосновении с водой он превращается в нежное и мягкое молочко.Сукрагель идеально подходит для загущения косметических растительных масел. По сравнению с Sucragel AOF, Sucragel AP требует более низкой концентрации (10-15% вместо 25%). Кроме того, он не содержит масла, поэтому вы можете любую свою масляную фазу для продукта.Sucragel AP может быть использован для производства молочка и лосьонов при норме ввода 4-6%.Sucragel AP может быть использован в мягких продуктах с пониженным пенообразованием, как со-ПАВ при норме ввода 10-15%.Кроме того Sucragel AP может быть использован для диспергирования жирных активов, отдушек и красителей в воде. При вмешивании в небольшом количестве (2-5%) Sucragel AP в липофильные активы (0.1-0.5%), а затем перемешивания в водной фазе, жирные компоненты легко диспергируют.
СТЕАРЕТ-20;STEARETH-20;STEARETH-20;Средний;Синтетический;Простой и эффективный эмульгатор для легкой эмульсии, текстура которого будет зависеть от густоты самих масел.Cинтетический полимер, содержащий ПЭГ (полиэтиленгликоль) и стеариловый спирт. Благодаря наличию ПЭГ, этот компонент может содержать потенциально токсичные производственные примеси, такие как 1,4-диоксан.;В допустимых концентрациях считается безопасным.
STEARETH-2;STEARETH-2;STEARETH-2;Средний;Синтетический;;Используется в качестве соэмульгатора и загустителя в системах типа масло в воде W/O. В дезодорантах, антипресперантах
STEARETH-100;STEARETH-100;STEARETH-100;Низкий;Синтетический;;Пенообразователь
АБРИКОСОВОЙ КОСТОЧКИ МАСЛО;PRUNUS ARMENIACA VULGARIS OIL;PRUNUS ARMENIACA KERNEL OIL;Низкий;Натуральный;Описание:это легкое растительное масло часто применяют в увлажняющих и питательных средствах, а также в косметике по уходу за кожей век. Незаменимо для чувствительной, увядающей и детской кожи, способствует восстановлению, смягчению и регенерации кожи.Цвет:практически бесцветное, слегка желтое. Консистенция - вязкаяАромат:запаха практически не чувствуется, присутствует легкая ореховая ноткаСостав:полиненасыщенные и мононенасыщенные жирные кислоты, витамины А, С, группы В, фосфолипиды, минералы, пантотеновая кислотаКосметическое действие:Основное воздействие масла: регенерация клеток, увлажнение, смягчение и тонизирование кожи, омолаживающий, противовоспалительный эффект. Ускоряет синтез коллагена и эластиновых волокон в коже, тем самым повышая ее упругость. Под воздействием масла заметно уменьшаются небольшие морщинки, повышается тонус кожи и улучшается цвет лица. Снимает ороговевшие частицы кожи, делая ее гладкой и мягкой. Отлично заживляет мелкие порезы и царапины.В уходе за телом применяется как основа для антицеллюлитных средств, помощь при огрубевшей коже. Может применяться для чувствительной кожей и в уходе за малышами (в том числе и новорожденными).;Возможна индивидуальная непереносимость масла
NULL;NULL;NULL;Низкий;Натуральный;;
АМАРАНТА МАСЛО;AMARANTHUS CRUENTUS;AMARANTHUS CAUDATUS SEED OIL;Низкий;Натуральный;Описание: уникальное масло с содержанием витамина Е в редкой токотриенольной форме (антиоксидантные свойства ее выше других форм в 40-50 раз) и сквалена –редкого вещества, содержащегося в подкожном жире человека, которое улучшает проникновение масла в кожу и активизирует восстановительные процессы. Цвет: насыщенный желтый или с коричневым оттенкомАромат: легкий ореховыйСостав: полиненасыщенные жирные кислоты (такие, как арахидоновая, стеариновая, линолевая, пальмитиновая,линоленовая, олеиновая), сквален (от 5 до 15% в зависимости от способа изготовления), витамины группы В и Д, Е, А, фитостерины, хлорофилл, желчные кислоты, холин и спирты. Косметическое действие: Благодаря своему уникальному составу амарантовое масло обладает восстановительными и защитными свойствами, увлажняет, питает и смягчает кожу. Может использоваться для детоксикации кожи. Масло быстро впитывается и усваивается, не вызывает аллергических реакций, создает антибактериальный барьер. Наличие в составе сквалена позволяет также активизировать восстановительные процессы, поэтому масло активно используется при лечении повреждений кожи, а также язв, экзем, псориазов и других кожных заболеваний. Способствует быстрому рассасыванию гематом и синяков, заживляет порезы и ожоги.;При первоначальном применении масла возможно появление тошноты и легкого головокружения. Это связано с увеличение интенсивности кожного дыхания и как следствие активным насыщением организма кислородом.Противопоказаний к применению амарантового масла не выявлено.
АЛОЭ МАЦЕРАТ;ALOE BARBADENSIS, ALOE VERA;ALOE VERA EXTRACT;Низкий;Натуральный;Описание:  высоко ценится в косметологии благодаря своим увлажняющим, разглаживающим и питательным свойствам. Хороший помощник в уходе за сухой шелушащейся кожей –повышает ее упругость и эластичность, увлажняет и усиливает синтез клеток.Цвет: слегка зеленоватый, иногда желтыйАромат: практически неразличимый растительный ароматСостав: алоэ имеет богатый состав, включающий: аминокислоты (метионин, валин, лейцин, лизин,фенилаланин и треонинизолейцин), жирные кислоты, витамины группы В, С и Е,бета-каротин, фолиевую кислоту, ферменты, минералы, а также антрахиноны,различные сахара, эфирные масла и эфиры коричной кислоты. Косметическое действие: Алоэ издавна известен как прекрасный увлажнитель и лечебное растение. Его поистине волшебные свойства помогают справиться с сухостью и обезвоживанием кожи, ощущением стянутости. Отличный помощник в борьбе с такими проблемами, как обветривание, солнечные ожоги, псориаз, экземы и розацея.Увядающей коже придает эластичность и улучшает тонус. Может использоваться при ссадинах, мелких порезах и царапинах, ожогах. В домашнем хозяйстве пригодится для устранения зуда после укусов насекомых и аллергических высыпаний.;до определенной концентрации безопасно для использования в косметике. В редких случаях может вызывать аллергическую реакцию, поэтому перед использованием следует провести  кожный тест (за ухом или на предплечье).
АНДИРОБА МАСЛО;CARAPA GUIANENSIS;CARAPA GUAIANENSIS SEED OIL;Низкий;Натуральный;Описание:  на своей родина масло андиробы широко использовалось как противовоспалительное средство и репеллент. В косметологии масло используется как компонент,стимулирующий кровообращение и снимающий отеки. Обладает заживляющими и смягчающими свойствами.Цвет: разных оттенков желтогоАромат: без запахаСостав: жирные кислоты (стеариновая, пальмитолеиновая, олеиновая, арахидная, линолевая и другие), витамин F, лимоноиды, мелиацины (по типу хинина)Косметическое действие: Применяется для смягчения и увлажнения кожи, а также при борьбе с акне и обезвоживанием. Особенно подходит для сухой, шелушащейся кожи.Обладает противовоспалительным и заживляющим действием, эффективно используется при акне. Богатый состав масла делает его незаменимым компонентов в антивозрастных средствах, поскольку оно результативно борется с морщинками и возрастной пигментацией. Может использоваться в уходе за телом как средство профилактики целлюлита – масло предупреждает его возникновение путем блокирования энзимов, способствующих формированию этого явления. Эффективно масло показало себя в составе детской косметики, в том числе и средств против укусов насекомых.;Противопоказаний не выявлено
